program_id,institution_name,recorded_distinct_professors,independent_distinct_professors,difference,status
us:ipeds:209542:program:phd:computer-science-phd,Oregon State University,1,1,0,pass
us:ipeds:137351:program:phd:ph-d-in-computer-science-and-engineering,University of South Florida,1,1,0,pass
ror:05trd4x28:program:thesis-or-research-master-s:master-s-degree-in-computer-science,University of Trento,1,1,0,pass
us:ipeds:207971:program:phd:computer-science-ph-d,University of Tulsa,1,1,0,pass
us:ipeds:133669:program:phd:doctor-of-philosophy-with-major-in-computer-science,Florida Atlantic University,1,1,0,pass
ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,Ontario Tech University,1,1,0,pass
ca:dli:O19021279692:program:thesis-or-research-master-s:msc-in-applied-science-computing-science-research-field,Saint Mary’s University,1,1,0,pass
ca:dli:O19391556899:program:thesis-or-research-master-s:master-of-science-in-computer-science,St. Francis Xavier University,1,1,0,pass
ca:dli:O19330231062:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,University of British Columbia,1,1,0,pass
ror:03ad39j10:program:thesis-or-research-master-s:master-s-degree-in-computer-science,University of Pisa,1,1,0,pass
ror:0005w8d69:program:thesis-or-research-master-s:master-of-science-in-computer-science,Università di Camerino,1,1,0,pass
ca:dli:O19375892122:program:thesis-or-research-master-s:master-of-engineering-science-mesc-in-electrical-and-computer-engineering,Western University,1,1,0,pass
us:ipeds:149222:program:phd:computer-science-doctor-of-philosophy,Southern Illinois University-Carbondale,1,1,0,pass
us:ipeds:186867:program:phd:phd-in-computer-science,Stevens Institute of Technology,1,1,0,pass
us:ipeds:156125:program:phd:phd-in-electrical-engineering-and-computer-science,Wichita State University,1,1,0,pass
us:ipeds:139755:program:phd:computer-science-phd,Georgia Institute of Technology-Main Campus,1,1,0,pass
ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,University of British Columbia,0,0,0,pass
ca:dli:O19091528512:program:phd:phd-in-computer-science,University of Manitoba,1,1,0,pass
ca:dli:O19332746152:program:direct-entry-phd:phd-in-computer-science-phd-u,University of Toronto,0,0,0,pass
ca:dli:O19361109242:program:thesis-or-research-master-s:masc-in-electrical-and-computer-engineering,York University,1,1,0,pass
us:ipeds:181464:program:phd:computer-science-phd,University of Nebraska-Lincoln,1,1,0,pass
ca:dli:O19376023352:program:thesis-or-research-master-s:msc-in-computing-research-pattern,Queen’s University,0,0,0,pass
ca:dli:O18886830282:program:thesis-or-research-master-s:msc-in-computer-science-thesis,University of Calgary,0,0,0,pass
ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,University of Waterloo,0,0,0,pass
ca:dli:O19330231062:program:integrated-or-structured-doctorate:phd-track-via-msc,University of British Columbia,0,0,0,pass
ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ETH Zurich,0,0,0,pass
us:ipeds:234076:program:phd:computer-science-phd,University of Virginia-Main Campus,0,0,0,pass
ca:dli:O19305471522:program:direct-entry-phd:phd-in-computer-science-direct-from-bachelor-s-exception,University of Waterloo,0,0,0,pass
ca:dli:O19359011007:program:thesis-or-research-master-s:master-of-computer-science-thesis,Concordia University,0,0,0,pass
ca:dli:O19359011033:program:thesis-or-research-master-s:msc-in-computer-science-thesis,McGill University,0,0,0,pass
ca:dli:O18886830282:program:direct-entry-phd:phd-in-computer-science-without-completed-msc,University of Calgary,0,0,0,pass
